(2, 2, [1, 3, 5, 7, 2, 4, 6, 0])
(4, 1, [1, 3, 5, 7, 0, 4, 6, 2])
(6, 1, [1, 3, 5, 7, 4, 0, 6, 2])
(7, 3, [1, 3, 5, 7, 4, 6, 0, 2])
(4, 3, [1, 3, 5, 0, 4, 6, 7, 2])
(2, 2, [1, 3, 5, 4, 0, 6, 7, 2])
(4, 1, [1, 3, 5, 4, 2, 6, 7, 0])
(5, 1, [1, 3, 5, 0, 2, 6, 7, 4])
(4, 3, [1, 3, 0, 5, 2, 6, 7, 4])
(5, 1, [1, 3, 4, 5, 2, 6, 7, 0])
(4, 1, [1, 3, 4, 0, 2, 6, 7, 5])
(7, 1, [1, 3, 0, 4, 2, 6, 7, 5])
(6, 1, [1, 3, 7, 4, 2, 6, 0, 5])
(3, 1, [1, 3, 7, 4, 2, 0, 6, 5])
(7, 1, [1, 0, 7, 4, 2, 3, 6, 5])
(5, 3, [1, 7, 0, 4, 2, 3, 6, 5])
(1, 3, [1, 7, 5, 4, 2, 3, 6, 0])
(7, 1, [0, 7, 5, 4, 2, 3, 6, 1])
(3, 1, [7, 0, 5, 4, 2, 3, 6, 1])
(6, 1, [7, 3, 5, 4, 2, 0, 6, 1])
(5, 1, [7, 3, 5, 4, 2, 6, 0, 1])
(1, 3, [7, 3, 0, 4, 2, 6, 5, 1])
(7, 3, [7, 3, 1, 4, 2, 6, 5, 0])
(3, 1, [0, 3, 1, 4, 2, 6, 5, 7])
(0, 0, [3, 0, 1, 4, 2, 6, 5, 7])
cost: 40, execution-time: 0.031556999999992286(2, 2, [1, 3, 5, 7, 2, 4, 6, 0])
(4, 1, [1, 3, 5, 7, 0, 4, 6, 2])
(6, 1, [1, 3, 5, 7, 4, 0, 6, 2])
(7, 3, [1, 3, 5, 7, 4, 6, 0, 2])
(4, 3, [1, 3, 5, 0, 4, 6, 7, 2])
(2, 2, [1, 3, 5, 4, 0, 6, 7, 2])
(4, 1, [1, 3, 5, 4, 2, 6, 7, 0])
(5, 1, [1, 3, 5, 0, 2, 6, 7, 4])
(4, 3, [1, 3, 0, 5, 2, 6, 7, 4])
(5, 1, [1, 3, 4, 5, 2, 6, 7, 0])
(4, 1, [1, 3, 4, 0, 2, 6, 7, 5])
(7, 1, [1, 3, 0, 4, 2, 6, 7, 5])
(6, 1, [1, 3, 7, 4, 2, 6, 0, 5])
(3, 1, [1, 3, 7, 4, 2, 0, 6, 5])
(7, 1, [1, 0, 7, 4, 2, 3, 6, 5])
(5, 3, [1, 7, 0, 4, 2, 3, 6, 5])
(1, 3, [1, 7, 5, 4, 2, 3, 6, 0])
(7, 1, [0, 7, 5, 4, 2, 3, 6, 1])
(3, 1, [7, 0, 5, 4, 2, 3, 6, 1])
(6, 1, [7, 3, 5, 4, 2, 0, 6, 1])
(5, 1, [7, 3, 5, 4, 2, 6, 0, 1])
(1, 3, [7, 3, 0, 4, 2, 6, 5, 1])
(7, 3, [7, 3, 1, 4, 2, 6, 5, 0])
(3, 1, [0, 3, 1, 4, 2, 6, 5, 7])
(0, 0, [3, 0, 1, 4, 2, 6, 5, 7])
cost: 40, execution-time: 0.028806000000002996
